Year,Month,Day,EnergyUse,Temp
2021,5,4,1399.44,62.5
2021,5,5,1615.32,57.5
2021,5,6,1249.92,55.3
2021,5,7,1614.9,54.7
2021,5,8,2005.5,51
2021,5,9,2651.88,48.4
2021,5,10,2371.32,52.1
2021,5,11,2085.3,53.5
2021,5,12,1777.86,55.1
2021,5,13,1491.84,57.8
2021,5,14,1365,60.5
2021,5,15,1233.96,61.2
2021,5,16,1079.4,61.4
2021,5,17,1566.6,62.8
2021,5,18,1469.58,66.6
2021,5,19,1635.06,73.1
2021,5,20,1484.28,67.9
2021,5,21,1535.1,67.6
2021,5,22,1858.92,76.1
2021,5,23,2028.6,80
2021,5,24,1738.8,63.7
2021,5,25,1498.98,64.5
2021,5,26,1979.04,71.3
2021,5,27,1679.16,72.6
2021,5,28,1454.46,58
2021,5,29,1957.62,48.2
2021,5,30,1966.86,48
2021,5,31,1144.08,58.8
2021,6,1,1285.2,64.3
