Year,Month,Day,NetEnergyUse,EnergyUseIn,EnergyUseOut
2020,9,24,1287.08,1263.77,-23.31
2020,9,25,1250.55,1078.88,-171.67
2020,9,26,1328.35,1181.59,-146.76
2020,9,27,1280.1,1136.79,-143.31
2020,9,28,1459.08,1240.15,-218.93
2020,9,29,1570.58,1527.11,-43.47
2020,9,30,1780.37,1070.37,-710
2020,10,1,1319.86,1201.41,-118.45
2020,10,2,1625.36,1270.03,-355.33
2020,10,3,1530.26,990.98,-539.28
2020,10,4,1375.57,1041.68,-333.89
2020,10,5,1678.02,1120.16,-557.86
2020,10,6,1703.86,1079.52,-624.34
2020,10,7,1436.09,1143.45,-292.64
2020,10,8,1472.3,1109.42,-362.88
